Data_No,Differential_pressure,Flow_rate,Time,Dust_feed,Dust,RUL
1,0.271267,52.2819934252226,0.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",58.9
1,0.36169,54.986671276298,0.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",58.8
1,0,55.4247862454673,0.3,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",58.7
1,2.622251,55.52414587973,0.4,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",58.6
1,3.888165,55.8520178971313,0.5,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",58.5
1,4.521122,56.1302033811896,0.6,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",58.4
1,4.521122,56.1500699350728,0.7,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",58.3
1,4.521122,56.0904568409999,0.8,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",58.2
1,5.787037,55.583758973803,0.9,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",58.1
1,4.521122,56.1003968341531,1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",58
1,4.521122,56.0010371998905,1.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",57.9
1,4.521122,56.0010371998905,1.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",57.8
1,4.521122,56.1103368273063,1.3,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",57.7
1,5.787037,56.0109771930437,1.4,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",57.6
1,5.787037,56.6468412415398,1.5,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",57.5
1,5.787037,56.279236116372,1.6,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",57.4
1,5.787037,56.1997430359926,1.7,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",57.3
1,5.787037,56.2494295693355,1.8,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",57.2
1,5.787037,56.0010371998905,1.9,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",57.1
1,6.419994,56.279236116372,2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",57
1,6.419994,56.3090426634085,2.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",56.9
1,6.419994,56.279236116372,2.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",56.8
